sale_id,date,store_id,product_id,quantity,unit_price,total_revenue
SAL_20160131_STR001_PRD006,2016-01-31,STR001,PRD006,5,35.0,175.0
SAL_20160204_STR001_PRD002,2016-02-04,STR001,PRD002,1,950.0,950.0
SAL_20160204_STR001_PRD006,2016-02-04,STR001,PRD006,2,35.0,70.0
SAL_20160206_STR001_PRD006,2016-02-06,STR001,PRD006,2,35.0,70.0
SAL_20160208_STR001_PRD006,2016-02-08,STR001,PRD006,3,35.0,105.0
SAL_20160208_STR001_PRD010,2016-02-08,STR001,PRD010,2,60.0,120.0
SAL_20160209_STR001_PRD003,2016-02-09,STR001,PRD003,2,1600.0,3200.0
SAL_20160209_STR001_PRD006,2016-02-09,STR001,PRD006,4,35.0,140.0
SAL_20160209_STR001_PRD010,2016-02-09,STR001,PRD010,5,60.0,300.0
SAL_20160210_STR001_PRD001,2016-02-10,STR001,PRD001,2,1200.0,2400.0
SAL_20160212_STR001_PRD002,2016-02-12,STR001,PRD002,2,950.0,1900.0
SAL_20160212_STR001_PRD005,2016-02-12,STR001,PRD005,4,280.0,1120.0
SAL_20160213_STR001_PRD005,2016-02-13,STR001,PRD005,3,280.0,840.0
SAL_20160213_STR001_PRD006,2016-02-13,STR001,PRD006,1,35.0,35.0
SAL_20160214_STR001_PRD001,2016-02-14,STR001,PRD001,1,1200.0,1200.0
SAL_20160214_STR001_PRD004,2016-02-14,STR001,PRD004,1,2000.0,2000.0
SAL_20160216_STR001_PRD008,2016-02-16,STR001,PRD008,5,45.0,225.0
SAL_20160218_STR001_PRD010,2016-02-18,STR001,PRD010,4,60.0,240.0
SAL_20160219_STR001_PRD004,2016-02-19,STR001,PRD004,2,2000.0,4000.0
SAL_20160220_STR001_PRD001,2016-02-20,STR001,PRD001,1,1200.0,1200.0
SAL_20160220_STR001_PRD002,2016-02-20,STR001,PRD002,3,950.0,2850.0
SAL_20160220_STR001_PRD009,2016-02-20,STR001,PRD009,3,15.0,45.0
SAL_20160221_STR001_PRD040,2016-02-21,STR001,PRD040,2,19.0,38.0
SAL_20160223_STR001_PRD006,2016-02-23,STR001,PRD006,1,35.0,35.0
SAL_20160224_STR001_PRD006,2016-02-24,STR001,PRD006,1,35.0,35.0
SAL_20160224_STR001_PRD010,2016-02-24,STR001,PRD010,4,60.0,240.0
SAL_20160224_STR001_PRD040,2016-02-24,STR001,PRD040,6,19.0,114.0
SAL_20160225_STR001_PRD005,2016-02-25,STR001,PRD005,2,280.0,560.0
SAL_20160225_STR001_PRD006,2016-02-25,STR001,PRD006,4,35.0,140.0
SAL_20160227_STR001_PRD003,2016-02-27,STR001,PRD003,1,1600.0,1600.0
SAL_20160227_STR001_PRD007,2016-02-27,STR001,PRD007,3,85.0,255.0
SAL_20160228_STR001_PRD040,2016-02-28,STR001,PRD040,2,19.0,38.0
SAL_20160301_STR001_PRD005,2016-03-01,STR001,PRD005,2,280.0,560.0
SAL_20160302_STR001_PRD002,2016-03-02,STR001,PRD002,1,950.0,950.0
SAL_20160302_STR001_PRD006,2016-03-02,STR001,PRD006,5,35.0,175.0
SAL_20160303_STR001_PRD009,2016-03-03,STR001,PRD009,1,15.0,15.0
SAL_20160305_STR001_PRD007,2016-03-05,STR001,PRD007,6,85.0,510.0
SAL_20160306_STR001_PRD002,2016-03-06,STR001,PRD002,1,950.0,950.0
SAL_20160306_STR001_PRD004,2016-03-06,STR001,PRD004,1,2000.0,2000.0
SAL_20160309_STR001_PRD008,2016-03-09,STR001,PRD008,6,45.0,270.0
SAL_20160310_STR001_PRD006,2016-03-10,STR001,PRD006,5,35.0,175.0
SAL_20160310_STR001_PRD010,2016-03-10,STR001,PRD010,4,60.0,240.0
SAL_20160310_STR001_PRD040,2016-03-10,STR001,PRD040,2,19.0,38.0
SAL_20160312_STR001_PRD006,2016-03-12,STR001,PRD006,1,35.0,35.0
SAL_20160312_STR001_PRD040,2016-03-12,STR001,PRD040,1,19.0,19.0
SAL_20160313_STR001_PRD003,2016-03-13,STR001,PRD003,1,1600.0,1600.0
SAL_20160313_STR001_PRD006,2016-03-13,STR001,PRD006,1,35.0,35.0
SAL_20160314_STR001_PRD003,2016-03-14,STR001,PRD003,2,1600.0,3200.0
SAL_20160314_STR001_PRD040,2016-03-14,STR001,PRD040,4,19.0,76.0
SAL_20160317_STR001_PRD003,2016-03-17,STR001,PRD003,3,1600.0,4800.0
SAL_20160318_STR001_PRD006,2016-03-18,STR001,PRD006,6,35.0,210.0
SAL_20160319_STR001_PRD001,2016-03-19,STR001,PRD001,2,1200.0,2400.0
SAL_20160320_STR001_PRD007,2016-03-20,STR001,PRD007,2,85.0,170.0
SAL_20160321_STR001_PRD004,2016-03-21,STR001,PRD004,3,2000.0,6000.0
SAL_20160323_STR001_PRD002,2016-03-23,STR001,PRD002,1,950.0,950.0
SAL_20160323_STR001_PRD005,2016-03-23,STR001,PRD005,5,280.0,1400.0
SAL_20160323_STR001_PRD006,2016-03-23,STR001,PRD006,4,35.0,140.0
SAL_20160325_STR001_PRD006,2016-03-25,STR001,PRD006,3,35.0,105.0
SAL_20160326_STR001_PRD003,2016-03-26,STR001,PRD003,2,1600.0,3200.0
SAL_20160326_STR001_PRD007,2016-03-26,STR001,PRD007,5,85.0,425.0
SAL_20160327_STR001_PRD003,2016-03-27,STR001,PRD003,1,1600.0,1600.0
SAL_20160327_STR001_PRD007,2016-03-27,STR001,PRD007,1,85.0,85.0
SAL_20160328_STR001_PRD001,2016-03-28,STR001,PRD001,2,1200.0,2400.0
SAL_20160328_STR001_PRD002,2016-03-28,STR001,PRD002,3,950.0,2850.0
SAL_20160328_STR001_PRD005,2016-03-28,STR001,PRD005,4,280.0,1120.0
SAL_20160328_STR001_PRD040,2016-03-28,STR001,PRD040,6,19.0,114.0
SAL_20160329_STR001_PRD004,2016-03-29,STR001,PRD004,2,2000.0,4000.0
SAL_20160401_STR001_PRD007,2016-04-01,STR001,PRD007,1,85.0,85.0
SAL_20160401_STR001_PRD008,2016-04-01,STR001,PRD008,1,45.0,45.0
SAL_20160402_STR001_PRD001,2016-04-02,STR001,PRD001,3,1200.0,3600.0
SAL_20160402_STR001_PRD009,2016-04-02,STR001,PRD009,3,15.0,45.0
SAL_20160403_STR001_PRD005,2016-04-03,STR001,PRD005,5,280.0,1400.0
SAL_20160404_STR001_PRD004,2016-04-04,STR001,PRD004,3,2000.0,6000.0
SAL_20160404_STR001_PRD040,2016-04-04,STR001,PRD040,2,19.0,38.0
SAL_20160405_STR001_PRD005,2016-04-05,STR001,PRD005,6,280.0,1680.0
SAL_20160406_STR001_PRD006,2016-04-06,STR001,PRD006,1,35.0,35.0
SAL_20160407_STR001_PRD008,2016-04-07,STR001,PRD008,4,45.0,180.0
SAL_20160407_STR001_PRD010,2016-04-07,STR001,PRD010,2,60.0,120.0
SAL_20160408_STR001_PRD005,2016-04-08,STR001,PRD005,6,280.0,1680.0
SAL_20160408_STR001_PRD006,2016-04-08,STR001,PRD006,4,35.0,140.0
SAL_20160408_STR001_PRD040,2016-04-08,STR001,PRD040,6,19.0,114.0
SAL_20160409_STR001_PRD001,2016-04-09,STR001,PRD001,1,1200.0,1200.0
SAL_20160409_STR001_PRD003,2016-04-09,STR001,PRD003,2,1600.0,3200.0
SAL_20160409_STR001_PRD008,2016-04-09,STR001,PRD008,1,45.0,45.0
SAL_20160410_STR001_PRD005,2016-04-10,STR001,PRD005,4,280.0,1120.0
SAL_20160413_STR001_PRD006,2016-04-13,STR001,PRD006,1,35.0,35.0
SAL_20160414_STR001_PRD001,2016-04-14,STR001,PRD001,2,1200.0,2400.0
SAL_20160414_STR001_PRD003,2016-04-14,STR001,PRD003,2,1600.0,3200.0
SAL_20160414_STR001_PRD004,2016-04-14,STR001,PRD004,1,2000.0,2000.0
SAL_20160415_STR001_PRD006,2016-04-15,STR001,PRD006,1,35.0,35.0
SAL_20160415_STR001_PRD010,2016-04-15,STR001,PRD010,6,60.0,360.0
SAL_20160417_STR001_PRD002,2016-04-17,STR001,PRD002,1,950.0,950.0
SAL_20160417_STR001_PRD010,2016-04-17,STR001,PRD010,6,60.0,360.0
SAL_20160418_STR001_PRD006,2016-04-18,STR001,PRD006,5,35.0,175.0
SAL_20160420_STR001_PRD003,2016-04-20,STR001,PRD003,1,1600.0,1600.0
SAL_20160421_STR001_PRD007,2016-04-21,STR001,PRD007,3,85.0,255.0
SAL_20160424_STR001_PRD001,2016-04-24,STR001,PRD001,3,1200.0,3600.0
SAL_20160425_STR001_PRD002,2016-04-25,STR001,PRD002,1,950.0,950.0
SAL_20160425_STR001_PRD006,2016-04-25,STR001,PRD006,2,35.0,70.0
SAL_20160425_STR001_PRD007,2016-04-25,STR001,PRD007,1,85.0,85.0
SAL_20160426_STR001_PRD007,2016-04-26,STR001,PRD007,1,85.0,85.0
SAL_20160426_STR001_PRD008,2016-04-26,STR001,PRD008,2,45.0,90.0
SAL_20160427_STR001_PRD005,2016-04-27,STR001,PRD005,4,280.0,1120.0
SAL_20160427_STR001_PRD008,2016-04-27,STR001,PRD008,4,45.0,180.0
SAL_20160427_STR001_PRD010,2016-04-27,STR001,PRD010,5,60.0,300.0
SAL_20160428_STR001_PRD003,2016-04-28,STR001,PRD003,2,1600.0,3200.0
SAL_20160428_STR001_PRD007,2016-04-28,STR001,PRD007,3,85.0,255.0
SAL_20160428_STR001_PRD008,2016-04-28,STR001,PRD008,5,45.0,225.0
SAL_20160429_STR001_PRD001,2016-04-29,STR001,PRD001,2,1200.0,2400.0
SAL_20160429_STR001_PRD002,2016-04-29,STR001,PRD002,2,950.0,1900.0
SAL_20160429_STR001_PRD005,2016-04-29,STR001,PRD005,1,280.0,280.0
SAL_20160430_STR001_PRD001,2016-04-30,STR001,PRD001,3,1200.0,3600.0
SAL_20160501_STR001_PRD001,2016-05-01,STR001,PRD001,1,1200.0,1200.0
SAL_20160501_STR001_PRD002,2016-05-01,STR001,PRD002,1,950.0,950.0
SAL_20160501_STR001_PRD009,2016-05-01,STR001,PRD009,6,15.0,90.0
SAL_20160503_STR001_PRD006,2016-05-03,STR001,PRD006,5,35.0,175.0
SAL_20160505_STR001_PRD002,2016-05-05,STR001,PRD002,3,950.0,2850.0
SAL_20160505_STR001_PRD040,2016-05-05,STR001,PRD040,1,19.0,19.0
SAL_20160506_STR001_PRD005,2016-05-06,STR001,PRD005,2,280.0,560.0
SAL_20160507_STR001_PRD004,2016-05-07,STR001,PRD004,3,2000.0,6000.0
SAL_20160507_STR001_PRD008,2016-05-07,STR001,PRD008,3,45.0,135.0
SAL_20160508_STR001_PRD005,2016-05-08,STR001,PRD005,2,280.0,560.0
SAL_20160508_STR001_PRD008,2016-05-08,STR001,PRD008,6,45.0,270.0
SAL_20160510_STR001_PRD010,2016-05-10,STR001,PRD010,4,60.0,240.0
SAL_20160511_STR001_PRD005,2016-05-11,STR001,PRD005,3,280.0,840.0
SAL_20160512_STR001_PRD006,2016-05-12,STR001,PRD006,1,35.0,35.0
SAL_20160513_STR001_PRD004,2016-05-13,STR001,PRD004,1,2000.0,2000.0
SAL_20160514_STR001_PRD009,2016-05-14,STR001,PRD009,1,15.0,15.0
SAL_20160515_STR001_PRD005,2016-05-15,STR001,PRD005,6,280.0,1680.0
SAL_20160517_STR001_PRD006,2016-05-17,STR001,PRD006,4,35.0,140.0
SAL_20160517_STR001_PRD008,2016-05-17,STR001,PRD008,3,45.0,135.0
SAL_20160518_STR001_PRD006,2016-05-18,STR001,PRD006,2,35.0,70.0
SAL_20160518_STR001_PRD040,2016-05-18,STR001,PRD040,4,19.0,76.0
SAL_20160519_STR001_PRD004,2016-05-19,STR001,PRD004,2,2000.0,4000.0
SAL_20160520_STR001_PRD009,2016-05-20,STR001,PRD009,5,15.0,75.0
SAL_20160521_STR001_PRD005,2016-05-21,STR001,PRD005,3,280.0,840.0
SAL_20160522_STR001_PRD002,2016-05-22,STR001,PRD002,1,950.0,950.0
SAL_20160522_STR001_PRD006,2016-05-22,STR001,PRD006,5,35.0,175.0
SAL_20160523_STR001_PRD008,2016-05-23,STR001,PRD008,3,45.0,135.0
SAL_20160524_STR001_PRD004,2016-05-24,STR001,PRD004,2,2000.0,4000.0
SAL_20160524_STR001_PRD010,2016-05-24,STR001,PRD010,4,60.0,240.0
SAL_20160525_STR001_PRD006,2016-05-25,STR001,PRD006,6,35.0,210.0
SAL_20160525_STR001_PRD008,2016-05-25,STR001,PRD008,3,45.0,135.0
SAL_20160529_STR001_PRD010,2016-05-29,STR001,PRD010,6,60.0,360.0
SAL_20160529_STR001_PRD040,2016-05-29,STR001,PRD040,4,19.0,76.0
SAL_20160530_STR001_PRD040,2016-05-30,STR001,PRD040,5,19.0,95.0
SAL_20160601_STR001_PRD007,2016-06-01,STR001,PRD007,1,85.0,85.0
SAL_20160602_STR001_PRD001,2016-06-02,STR001,PRD001,1,1200.0,1200.0
SAL_20160602_STR001_PRD005,2016-06-02,STR001,PRD005,4,280.0,1120.0
SAL_20160602_STR001_PRD040,2016-06-02,STR001,PRD040,3,19.0,57.0
SAL_20160604_STR001_PRD001,2016-06-04,STR001,PRD001,1,1200.0,1200.0
SAL_20160604_STR001_PRD005,2016-06-04,STR001,PRD005,3,280.0,840.0
SAL_20160605_STR001_PRD003,2016-06-05,STR001,PRD003,3,1600.0,4800.0
SAL_20160605_STR001_PRD004,2016-06-05,STR001,PRD004,1,2000.0,2000.0
SAL_20160605_STR001_PRD007,2016-06-05,STR001,PRD007,4,85.0,340.0
SAL_20160610_STR001_PRD004,2016-06-10,STR001,PRD004,1,2000.0,2000.0
SAL_20160610_STR001_PRD007,2016-06-10,STR001,PRD007,4,85.0,340.0
SAL_20160610_STR001_PRD010,2016-06-10,STR001,PRD010,3,60.0,180.0
SAL_20160611_STR001_PRD003,2016-06-11,STR001,PRD003,2,1600.0,3200.0
SAL_20160611_STR001_PRD006,2016-06-11,STR001,PRD006,1,35.0,35.0
SAL_20160612_STR001_PRD009,2016-06-12,STR001,PRD009,6,15.0,90.0
SAL_20160614_STR001_PRD006,2016-06-14,STR001,PRD006,6,35.0,210.0
SAL_20160614_STR001_PRD008,2016-06-14,STR001,PRD008,6,45.0,270.0
SAL_20160615_STR001_PRD002,2016-06-15,STR001,PRD002,3,950.0,2850.0
SAL_20160615_STR001_PRD003,2016-06-15,STR001,PRD003,3,1600.0,4800.0
SAL_20160615_STR001_PRD007,2016-06-15,STR001,PRD007,4,85.0,340.0
SAL_20160615_STR001_PRD040,2016-06-15,STR001,PRD040,5,19.0,95.0
SAL_20160617_STR001_PRD006,2016-06-17,STR001,PRD006,6,35.0,210.0
SAL_20160619_STR001_PRD006,2016-06-19,STR001,PRD006,2,35.0,70.0
SAL_20160619_STR001_PRD008,2016-06-19,STR001,PRD008,4,45.0,180.0
SAL_20160619_STR001_PRD010,2016-06-19,STR001,PRD010,6,60.0,360.0
SAL_20160620_STR001_PRD001,2016-06-20,STR001,PRD001,2,1200.0,2400.0
SAL_20160621_STR001_PRD002,2016-06-21,STR001,PRD002,1,950.0,950.0
SAL_20160622_STR001_PRD008,2016-06-22,STR001,PRD008,6,45.0,270.0
SAL_20160625_STR001_PRD008,2016-06-25,STR001,PRD008,1,45.0,45.0
SAL_20160625_STR001_PRD010,2016-06-25,STR001,PRD010,6,60.0,360.0
SAL_20160626_STR001_PRD005,2016-06-26,STR001,PRD005,5,280.0,1400.0
SAL_20160626_STR001_PRD007,2016-06-26,STR001,PRD007,6,85.0,510.0
SAL_20160627_STR001_PRD001,2016-06-27,STR001,PRD001,3,1200.0,3600.0
SAL_20160627_STR001_PRD003,2016-06-27,STR001,PRD003,3,1600.0,4800.0
SAL_20160627_STR001_PRD006,2016-06-27,STR001,PRD006,6,35.0,210.0
SAL_20160627_STR001_PRD040,2016-06-27,STR001,PRD040,2,19.0,38.0
SAL_20160628_STR001_PRD006,2016-06-28,STR001,PRD006,4,35.0,140.0
SAL_20160629_STR001_PRD004,2016-06-29,STR001,PRD004,2,2000.0,4000.0
SAL_20160701_STR001_PRD007,2016-07-01,STR001,PRD007,2,85.0,170.0
SAL_20160702_STR001_PRD001,2016-07-02,STR001,PRD001,1,1200.0,1200.0
SAL_20160702_STR001_PRD040,2016-07-02,STR001,PRD040,6,19.0,114.0
SAL_20160703_STR001_PRD002,2016-07-03,STR001,PRD002,2,950.0,1900.0
SAL_20160703_STR001_PRD004,2016-07-03,STR001,PRD004,3,2000.0,6000.0
SAL_20160704_STR001_PRD008,2016-07-04,STR001,PRD008,3,45.0,135.0
SAL_20160705_STR001_PRD004,2016-07-05,STR001,PRD004,2,2000.0,4000.0
SAL_20160705_STR001_PRD008,2016-07-05,STR001,PRD008,4,45.0,180.0
SAL_20160706_STR001_PRD001,2016-07-06,STR001,PRD001,2,1200.0,2400.0
SAL_20160706_STR001_PRD006,2016-07-06,STR001,PRD006,4,35.0,140.0
SAL_20160706_STR001_PRD008,2016-07-06,STR001,PRD008,5,45.0,225.0
SAL_20160707_STR001_PRD006,2016-07-07,STR001,PRD006,4,35.0,140.0
SAL_20160708_STR001_PRD006,2016-07-08,STR001,PRD006,4,35.0,140.0
SAL_20160710_STR001_PRD008,2016-07-10,STR001,PRD008,5,45.0,225.0
SAL_20160711_STR001_PRD002,2016-07-11,STR001,PRD002,3,950.0,2850.0
SAL_20160712_STR001_PRD006,2016-07-12,STR001,PRD006,5,35.0,175.0
SAL_20160713_STR001_PRD007,2016-07-13,STR001,PRD007,2,85.0,170.0
SAL_20160713_STR001_PRD040,2016-07-13,STR001,PRD040,6,19.0,114.0
SAL_20160714_STR001_PRD006,2016-07-14,STR001,PRD006,3,35.0,105.0
SAL_20160715_STR001_PRD010,2016-07-15,STR001,PRD010,6,60.0,360.0
SAL_20160716_STR001_PRD040,2016-07-16,STR001,PRD040,3,19.0,57.0
SAL_20160717_STR001_PRD006,2016-07-17,STR001,PRD006,2,35.0,70.0
SAL_20160718_STR001_PRD008,2016-07-18,STR001,PRD008,2,45.0,90.0
SAL_20160719_STR001_PRD001,2016-07-19,STR001,PRD001,1,1200.0,1200.0
SAL_20160719_STR001_PRD006,2016-07-19,STR001,PRD006,6,35.0,210.0
SAL_20160721_STR001_PRD006,2016-07-21,STR001,PRD006,4,35.0,140.0
SAL_20160723_STR001_PRD040,2016-07-23,STR001,PRD040,2,19.0,38.0
SAL_20160724_STR001_PRD007,2016-07-24,STR001,PRD007,1,85.0,85.0
SAL_20160725_STR001_PRD010,2016-07-25,STR001,PRD010,3,60.0,180.0
SAL_20160727_STR001_PRD004,2016-07-27,STR001,PRD004,2,2000.0,4000.0
SAL_20160728_STR001_PRD007,2016-07-28,STR001,PRD007,3,85.0,255.0
SAL_20160730_STR001_PRD001,2016-07-30,STR001,PRD001,3,1200.0,3600.0
SAL_20160730_STR001_PRD010,2016-07-30,STR001,PRD010,4,60.0,240.0
SAL_20160801_STR001_PRD005,2016-08-01,STR001,PRD005,6,280.0,1680.0
SAL_20160801_STR001_PRD008,2016-08-01,STR001,PRD008,2,45.0,90.0
SAL_20160801_STR001_PRD010,2016-08-01,STR001,PRD010,4,60.0,240.0
SAL_20160803_STR001_PRD007,2016-08-03,STR001,PRD007,4,85.0,340.0
SAL_20160803_STR001_PRD008,2016-08-03,STR001,PRD008,5,45.0,225.0
SAL_20160803_STR001_PRD040,2016-08-03,STR001,PRD040,6,19.0,114.0
SAL_20160804_STR001_PRD002,2016-08-04,STR001,PRD002,2,950.0,1900.0
SAL_20160804_STR001_PRD006,2016-08-04,STR001,PRD006,1,35.0,35.0
SAL_20160804_STR001_PRD007,2016-08-04,STR001,PRD007,3,85.0,255.0
SAL_20160805_STR001_PRD005,2016-08-05,STR001,PRD005,6,280.0,1680.0
SAL_20160805_STR001_PRD006,2016-08-05,STR001,PRD006,3,35.0,105.0
SAL_20160806_STR001_PRD002,2016-08-06,STR001,PRD002,1,950.0,950.0
SAL_20160806_STR001_PRD003,2016-08-06,STR001,PRD003,1,1600.0,1600.0
SAL_20160806_STR001_PRD008,2016-08-06,STR001,PRD008,3,45.0,135.0
SAL_20160807_STR001_PRD004,2016-08-07,STR001,PRD004,3,2000.0,6000.0
SAL_20160807_STR001_PRD006,2016-08-07,STR001,PRD006,5,35.0,175.0
SAL_20160807_STR001_PRD010,2016-08-07,STR001,PRD010,2,60.0,120.0
SAL_20160808_STR001_PRD001,2016-08-08,STR001,PRD001,2,1200.0,2400.0
SAL_20160808_STR001_PRD003,2016-08-08,STR001,PRD003,1,1600.0,1600.0
SAL_20160808_STR001_PRD006,2016-08-08,STR001,PRD006,5,35.0,175.0
SAL_20160809_STR001_PRD001,2016-08-09,STR001,PRD001,3,1200.0,3600.0
SAL_20160809_STR001_PRD002,2016-08-09,STR001,PRD002,2,950.0,1900.0
SAL_20160810_STR001_PRD004,2016-08-10,STR001,PRD004,1,2000.0,2000.0
SAL_20160810_STR001_PRD006,2016-08-10,STR001,PRD006,2,35.0,70.0
SAL_20160811_STR001_PRD001,2016-08-11,STR001,PRD001,3,1200.0,3600.0
SAL_20160811_STR001_PRD007,2016-08-11,STR001,PRD007,5,85.0,425.0
SAL_20160812_STR001_PRD001,2016-08-12,STR001,PRD001,3,1200.0,3600.0
SAL_20160813_STR001_PRD003,2016-08-13,STR001,PRD003,2,1600.0,3200.0
SAL_20160813_STR001_PRD010,2016-08-13,STR001,PRD010,5,60.0,300.0
SAL_20160814_STR001_PRD005,2016-08-14,STR001,PRD005,6,280.0,1680.0
SAL_20160814_STR001_PRD006,2016-08-14,STR001,PRD006,1,35.0,35.0
SAL_20160814_STR001_PRD010,2016-08-14,STR001,PRD010,1,60.0,60.0
SAL_20160815_STR001_PRD008,2016-08-15,STR001,PRD008,3,45.0,135.0
SAL_20160815_STR001_PRD040,2016-08-15,STR001,PRD040,2,19.0,38.0
SAL_20160816_STR001_PRD004,2016-08-16,STR001,PRD004,2,2000.0,4000.0
SAL_20160816_STR001_PRD008,2016-08-16,STR001,PRD008,4,45.0,180.0
SAL_20160818_STR001_PRD001,2016-08-18,STR001,PRD001,3,1200.0,3600.0
SAL_20160818_STR001_PRD006,2016-08-18,STR001,PRD006,6,35.0,210.0
SAL_20160819_STR001_PRD002,2016-08-19,STR001,PRD002,1,950.0,950.0
SAL_20160819_STR001_PRD004,2016-08-19,STR001,PRD004,1,2000.0,2000.0
SAL_20160819_STR001_PRD010,2016-08-19,STR001,PRD010,1,60.0,60.0
SAL_20160820_STR001_PRD004,2016-08-20,STR001,PRD004,3,2000.0,6000.0
SAL_20160820_STR001_PRD006,2016-08-20,STR001,PRD006,3,35.0,105.0
SAL_20160821_STR001_PRD004,2016-08-21,STR001,PRD004,3,2000.0,6000.0
SAL_20160821_STR001_PRD005,2016-08-21,STR001,PRD005,1,280.0,280.0
SAL_20160821_STR001_PRD006,2016-08-21,STR001,PRD006,4,35.0,140.0
SAL_20160821_STR001_PRD008,2016-08-21,STR001,PRD008,3,45.0,135.0
SAL_20160822_STR001_PRD002,2016-08-22,STR001,PRD002,1,950.0,950.0
SAL_20160823_STR001_PRD002,2016-08-23,STR001,PRD002,2,950.0,1900.0
SAL_20160823_STR001_PRD005,2016-08-23,STR001,PRD005,4,280.0,1120.0
SAL_20160823_STR001_PRD009,2016-08-23,STR001,PRD009,1,15.0,15.0
SAL_20160824_STR001_PRD001,2016-08-24,STR001,PRD001,1,1200.0,1200.0
SAL_20160824_STR001_PRD010,2016-08-24,STR001,PRD010,1,60.0,60.0
SAL_20160825_STR001_PRD003,2016-08-25,STR001,PRD003,2,1600.0,3200.0
SAL_20160825_STR001_PRD004,2016-08-25,STR001,PRD004,2,2000.0,4000.0
SAL_20160825_STR001_PRD005,2016-08-25,STR001,PRD005,5,280.0,1400.0
SAL_20160826_STR001_PRD040,2016-08-26,STR001,PRD040,4,19.0,76.0
SAL_20160827_STR001_PRD001,2016-08-27,STR001,PRD001,1,1200.0,1200.0
SAL_20160827_STR001_PRD007,2016-08-27,STR001,PRD007,4,85.0,340.0
SAL_20160828_STR001_PRD003,2016-08-28,STR001,PRD003,3,1600.0,4800.0
SAL_20160828_STR001_PRD007,2016-08-28,STR001,PRD007,4,85.0,340.0
