store_id,product_id,current_stock,last_restock_date
STR004,PRD039,44,2026-08-21
STR004,PRD040,23,2026-08-13
STR005,PRD001,17,2026-08-25
STR005,PRD002,18,2026-08-10
STR005,PRD003,42,2026-08-09
STR005,PRD004,44,2026-08-11
STR005,PRD005,31,2026-08-30
STR005,PRD006,12,2026-08-18
STR005,PRD007,34,2026-08-06
STR005,PRD008,47,2026-08-15
STR005,PRD009,70,2026-08-10
STR005,PRD010,18,2026-08-09
STR005,PRD011,34,2026-08-16
STR005,PRD012,60,2026-08-12
STR005,PRD013,37,2026-08-09
STR005,PRD014,22,2026-08-27
STR005,PRD015,29,2026-08-09
STR005,PRD016,43,2026-08-22
STR005,PRD017,35,2026-08-07
STR005,PRD018,42,2026-08-11
STR005,PRD019,20,2026-08-20
STR005,PRD020,46,2026-08-13
STR005,PRD021,33,2026-08-19
STR005,PRD022,46,2026-08-05
STR005,PRD023,34,2026-08-12
STR005,PRD024,39,2026-08-08
STR005,PRD025,18,2026-08-13
STR005,PRD026,37,2026-08-25
STR005,PRD027,15,2026-08-17
STR005,PRD028,37,2026-08-12
STR005,PRD029,12,2026-08-08
STR005,PRD030,29,2026-08-19
STR005,PRD031,22,2026-08-14
STR005,PRD032,54,2026-08-17
STR005,PRD033,17,2026-08-18
STR005,PRD034,15,2026-08-07
STR005,PRD035,12,2026-08-18
STR005,PRD036,46,2026-08-17
STR005,PRD037,49,2026-08-23
STR005,PRD038,44,2026-08-16
STR005,PRD039,32,2026-08-19
STR005,PRD040,43,2026-08-29
